;Open;Close;High;Low;Vol;Log_returns;Amihud;LHH;LIX;VAR;VAR_21;MACD;EMA_21;MA_21;F_Open;F_Close;F_High;F_Low;F_Vol;F_Log_returns;F_Amihud;F_LHH;F_LIX;F_VAR;F_VAR_21;F_MACD;F_EMA_21;F_MA_21;F_Open_pos;F_Open_con
2019-01-03;186.37;186.99;191.5;186.99;;0.0033211943962951906;1.2299477146076423e-09;15.916003408555966;9.220848806897811;0.006428412014231892;;0.0;;;18925.0;19043.0;19478.0;18912.0;3.1776652062796638;0.006215780653167968;2.626307261415284e-07;0.05205187638777006;7.0905945799293235;0.005707231845865253;0.013806523147318343;-13.246667875293497;-0.0007320047738484936;-0.003503760736135675;0.020744005350550987;0.01902540026945987
2019-01-04;187.99;190.99;190.99;190.99;-0.18871818476040114;0.01583230072919317;6.134436668987966e-10;11.377378391349353;inf;0.0031525815238292875;;0.003076923076918092;0.011205080994909133;;19069.0;19488.0;19508.0;19069.0;-0.2893348335718421;0.021734911674997193;1.7979273384617671e-07;0.05728997411150737;7.062643423243066;0.002949147662014175;0.014370551648186744;-11.567679760169995;0.001443438678814024;-0.001269557886384387;0.0355047282637011;0.016833007769563757
2019-01-08;191.66;191.24;193.18;191.24;0.18578367026676323;-0.0021937851577131795;5.728368820213637e-10;8.258760681189072;9.580161178967439;0.003253632079003269;;0.004251781996913451;0.004165805994650551;;19497.0;19500.0;19649.0;19340.0;0.030835446929521115;0.00015385798938005735;1.784931683602469e-07;0.03702516240018368;7.228606148517764;0.002842096069383687;0.01436820919370884;-10.032677287483239;0.0013670609923008836;-0.0012463441399481745;-0.03783216105865539;-0.04006399367475644
2019-01-09;192.71;197.0;197.0;197.0;0.8307325057442665;0.022017260528159;3.6393787523880434e-10;7.795624178093097;inf;0.0030498011614362693;;0.011715700982307453;0.010765009730280717;;19517.0;19970.0;20100.0;19513.0;0.6855959499560103;0.0229452667786596;9.554117822350339e-08;0.045370564088613466;7.1870234593089855;0.003027730624370276;0.015227796397650935;-7.332216160368262;0.003462540100431788;0.00023615627081907675;0.12926267481343223;0.09703034007914813
2019-01-10;196.3;196.75;197.64;196.75;-0.20417557005392506;0.002289786015096773;3.9757167481615996e-10;5.139300339255089;10.09435106786234;0.0029914416278398943;;0.015460673406067826;0.006039335937832346;;19970.0;20074.0;20090.0;19805.0;-0.08910076500991926;0.0051942979638841535;1.1205652014884673e-07;0.023370445315987393;7.462542892828403;0.002889330239099608;0.015158274555828622;-4.687312674745044;0.0036266403714775297;0.0010810918281884963;-0.018451992293595176;-0.01913962600595953
2019-01-11;197.13;196.8;198.96;196.8;0.13221494120880628;-0.0016754249597337179;3.687073337240347e-10;5.808844946051456;9.763326558148869;0.004017145775022766;;0.01771198346835945;0.004026045487447449;;20061.0;19831.0;20200.0;19755.0;0.17759503136957822;-0.011531261836259077;1.0231545973528245e-07;0.02908375006767507;7.334734401154112;0.0034071813727042056;0.015403144001448406;-3.0884004818290123;0.002144487493729308;0.00032273600691157256;-0.06773995332038052;-0.0638047852841449
2019-01-14;195.68;196.8;197.44;196.8;-0.29853950911378935;0.005707312679290588;5.1783142408364e-10;8.574119418732597;10.137603550133877;0.0026320312290062133;;0.01904929615031392;0.0028384577680586887;;19832.0;19965.0;20080.0;19672.0;-0.21117958635819134;0.006683945782295808;7.262004202361568e-08;0.0351819879347222;7.272337090093248;0.002148234507067469;0.015462592976439874;-1.3240546107845148;0.002572820452198865;0.0007296444100304278;0.04153686449641847;0.03638099922389748
2019-01-15;197.39;198.0;198.84;198.0;0.18706567044892508;0.003085563539639402;4.689801591436745e-10;6.09212892537046;10.096619079734953;0.003613553666938208;;0.021669344363743903;0.0031524607973640872;;19987.0;20110.0;20165.0;19871.0;0.4590796816393743;0.00613514157215711;1.6099943087673783e-07;0.016066483381046028;7.581871688586435;0.0032011930100531555;0.014786298216401818;0.6029955692174553;0.0030101387730900875;0.001810381172035802;-0.06115371501685707;-0.06596423970859244
2019-01-16;198.64;201.26;201.3;201.26;0.17733063948361716;0.013103463305276009;2.603578954875866e-10;5.730920855991427;11.496829099038926;0.002541478715023684;;0.028607836058796465;0.00505385724214058;;20111.0;20558.0;20608.0;20080.0;-0.16557570285656964;0.021983230538264564;8.527270537694895e-08;0.038046803755236294;7.2585408291768205;0.002974151494402863;0.015413183095653643;3.51792633048899;0.004814466407275786;0.0028418655312405505;0.12704864334915933;0.11183843689477357
2019-01-17;201.67;203.32;203.55;203.32;-0.04110725683052052;0.00814839442695181;4.852421767821578e-10;4.486684409980022;10.723353918957478;0.003862710268534283;;0.03697232334502587;0.005523945145175624;;20551.0;20654.0;20744.0;20379.0;-0.01276100593824736;0.0049994036904283945;1.3277390810706857e-07;0.024352877439201056;7.415327499049285;0.0038779007399590195;0.012771994618561862;6.2621783016038535;0.004800618878554097;0.004823405116660462;-0.06427205141572223;-0.07228490204340832
